NAME,YYMMDD,HOUR,Wind_Speed,ID,DELV24,PER,SHRD,POT,PC2
ARLE,990611,18,30,AL011999,15,9999,13.9,-70,1
ARLE,990612,0,30,AL011999,20,9999,17.5,-83,91
ARLE,990612,6,30,AL011999,20,0,16.9,-82,81
ARLE,990612,12,35,AL011999,15,5,18.6,-76,67
ARLE,990612,18,45,AL011999,5,15,15.3,-62,46
ARLE,990613,0,50,AL011999,-5,15,18.6,-46,36
ARLE,990613,6,50,AL011999,-10,5,17,-49,15
ARLE,990613,12,50,AL011999,-10,0,16.8,-47,38
ARLE,990613,18,50,AL011999,-10,0,13.2,-45,57
ARLE,990614,0,45,AL011999,-5,-5,14.6,-50,100
ARLE,990614,6,40,AL011999,0,-10,15.7,-56,66
ARLE,990614,12,40,AL011999,5,-5,14.9,-56,131
ARLE,990614,18,40,AL011999,5,0,10.6,-53,99
ARLE,990615,0,40,AL011999,5,0,14.5,-51,157
ARLE,990615,6,40,AL011999,5,0,14.8,-53,155
ARLE,990615,12,45,AL011999,-5,5,5.8,-55,115
ARLE,990615,18,45,AL011999,-10,5,13.5,-49,160
