,NAME,ID,MONTH,YEAR,Wind_Speed,DELV24,PER,SHRD,POT,PC2
305,JEAN,AL101998,9,1998,60,-25,-15,13.6,-15,108
306,JEAN,AL101998,9,1998,50,9999,-15,16.2,-21,145
307,JEAN,AL101998,9,1998,45,9999,-15,23.6,-26,172
308,JEAN,AL101998,9,1998,40,9999,-10,15.2,-30,168
309,JEAN,AL101998,9,1998,35,9999,-10,13.9,-27,144
310,KARL,AL111998,9,1998,25,15,9999,10.2,-75,119
311,KARL,AL111998,9,1998,30,15,9999,6.2,-76,61
312,KARL,AL111998,9,1998,35,15,10,6.5,-70,36
313,KARL,AL111998,9,1998,35,20,5,13.4,-74,62
314,KARL,AL111998,9,1998,40,25,5,15.2,-73,111
315,KARL,AL111998,9,1998,45,25,10,12.1,-71,59
316,KARL,AL111998,9,1998,50,25,10,12.6,-70,34
317,KARL,AL111998,9,1998,55,20,10,11.9,-72,10
318,KARL,AL111998,9,1998,65,10,15,11.9,-65,16
319,KARL,AL111998,9,1998,70,10,15,9.4,-62,-54
320,KARL,AL111998,9,1998,75,15,10,13.1,-63,-27
321,KARL,AL111998,9,1998,75,15,5,12.6,-58,-18
322,KARL,AL111998,9,1998,75,5,0,10,-57,-3
323,KARL,AL111998,9,1998,80,-10,5,17.3,-46,-39
324,KARL,AL111998,9,1998,90,-35,15,19.4,-18,-34
325,KARL,AL111998,9,1998,90,9999,10,21.9,-11,-17
326,KARL,AL111998,9,1998,80,9999,-10,29.8,-7,44
327,KARL,AL111998,9,1998,70,9999,-20,29.9,4,127
328,KARL,AL111998,9,1998,55,9999,-25,32.9,1,194
329,LISA,AL121998,10,1998,30,10,9999,10.4,-117,9999
330,LISA,AL121998,10,1998,35,10,9999,8.9,-116,9999
331,LISA,AL121998,10,1998,35,10,5,16.7,-116,9999
332,LISA,AL121998,10,1998,40,5,5,19.5,-109,33
333,LISA,AL121998,10,1998,40,10,5,23.4,-106,46
334,LISA,AL121998,10,1998,45,5,5,26.1,-105,96
335,LISA,AL121998,10,1998,45,5,5,27.1,-107,64
336,LISA,AL121998,10,1998,45,5,0,24,-103,-10
337,LISA,AL121998,10,1998,50,5,5,25.6,-99,-4
338,LISA,AL121998,10,1998,50,5,5,25.6,-100,64
339,LISA,AL121998,10,1998,50,5,0,23.8,-98,37
340,LISA,AL121998,10,1998,50,10,0,19.7,-93,27
341,LISA,AL121998,10,1998,55,5,5,21.9,-80,-66
342,LISA,AL121998,10,1998,55,5,5,12.2,-76,62
343,LISA,AL121998,10,1998,55,10,0,15.9,-70,29
344,LISA,AL121998,10,1998,60,5,5,17.9,-53,-19
345,LISA,AL121998,10,1998,60,9999,5,23.5,-47,-53
346,LISA,AL121998,10,1998,60,9999,0,26.7,-31,-74
347,LISA,AL121998,10,1998,65,9999,5,34,9,-48
348,LISA,AL121998,10,1998,65,9999,5,46.3,51,-34
349,MITC,AL131998,10,1998,30,10,9999,6.9,-122,12
